name,type,country,corridors,description
"Drone Rules 2021","Standard / Certification","IN","defence","India's civil drone regulatory framework: forms cut 25 to 5, approvals 72 to 4, drones to 500 kg, ~90% of airspace Green Zone to 400 ft."
"Dunlee","Foreign Supplier","US","ai_medtech","Replacement X-ray tubes and CT detectors (Philips company)."
"DuPont","Foreign Supplier","US","semiconductors","Major semiconductor materials supplier; named CMP-slurry competitor."
"DuPont — CMP Pads (Rohm & Haas)","Foreign Supplier","US","semiconductors","CMP polishing pads; ~70% global share"
"DuPont Electronics & Industrial","Foreign Supplier","US","semiconductors","Dry film resist for packaging; dielectrics"
"E2E Networks","Private Company","IN","","E2E Networks is one of the eligible IndiaAI compute bidders listed by PIB. It is a domestic cloud/GPU-access challenger in the common-compute layer."
"E2E Networks Limited","Private Company","IN","ai_infrastructure","First IndiaAI provider to deploy 100% of committed GPUs; the proof-of-execution node for the GPU pillar."
"Edwards Vacuum","Foreign Supplier","GB","semiconductors","Dominant dry pump and abatement supplier"
"Electronic design automation (EDA) software","Technology","","semiconductors","Chip-design software layer. The Big-3 — Synopsys (~31%), Cadence (~30%), Siemens EDA (~13%) — hold over 70% of the market; the most entrenched layer of the semiconductor value chain. Mapped in The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Electronic Industries Association of India (ELCINA)","Industry Body","IN","semiconductors","Indian industry body for electronics manufacturing; ecosystem support."
"Electronic speed controller","Product / Component","IN","defence","Power-electronics module driving BLDC motors; global supply concentrated in Chinese makers (Hobbywing, T-Motor). Catalogued in Who Builds India's Drones? (Techadyant Labs, 2026)."
"Electronic warfare & ELINT","Technology","IN","defence","DLRL + Astra Microwave + Data Patterns give real depth; some RF front-ends imported."
"Electronics and Radar Development Establishment","Research Institution","IN","defence","LRDE; Bengaluru; Ashoka/LSTAR L-band radar, Arudhra MPR, Aslesha MMW, Uttam AESA, NETRA AEW."
"Electronics Component Manufacturing Scheme","Scheme / Programme","IN","semiconductors","ECMS component-manufacturing incentive framework covering sub-assemblies, bare components and capital equipment."
"Embraer","Foreign Supplier","BR","defence","Referenced in Defence Atlas relationships."
"Emergency Procurement (MoD)","Scheme / Programme","IN","defence","EP power delegated to services; ~₹500 cr per case; 24-month delivery window; simplified procedure."
"Entegris","Foreign Supplier","US","semiconductors","Leading semiconductor materials and contamination-control supplier; CMP slurry leader."
"Entegris — Liquid Delivery","Foreign Supplier","US","semiconductors","Critical fluid delivery and UPW systems"
"Entegris Inc.","Foreign Supplier","US","semiconductors","CMP slurry and fluid delivery systems"
"Entegris India","Foreign Supplier","US","semiconductors","Entegris India: UPW filtration and fluid handling"
"EO/IR sensors & seekers","Technology","IN","defence","Tonbo/others integrate well but IR detectors and seeker cores are imported."
"EON Space Labs","Private Company","IN","defence","Germanium-free thermal cameras. Based in Pune, Maharashtra; stage: Startup. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"EVE Energy","Foreign Supplier","CN","critical_minerals","Lithium-ion battery cells. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Exide Energy Solutions Gigafactory, Bengaluru","Industrial Park / Node","IN","critical_minerals","≈80-acre lithium-ion cell gigafactory site at Bengaluru, Karnataka."
"Exide Energy Solutions Ltd (EESL)","Private Company","IN","critical_minerals","Subsidiary of Exide Industries; building a multi-GWh lithium-ion cell gigafactory at Bengaluru, Karnataka (≈80 acres) with technology partner SVOLT En"
"Eyestem","Private Company","IN","ai_medtech","Eyestem official site describes AI retinal screening; limited corroboration."
"Fighter aero-engines (gas turbine)","Technology","IN","defence","Kaveri did not reach production; fighters fly on imported GE/Saturn cores. The deepest single gap."
"Foxconn India","Foreign Supplier","TW","semiconductors","Foxconn India; major EMS for mobiles and electronics"
"Frappe Technologies (ERPNext)","Private Company","IN","enterprise_software","Indian-built open-source ERP (GPLv3) on Frappe/MariaDB; GST & e-invoicing native; adopted by NDDB and state bodies."
"Freiberger Compound Materials","Foreign Supplier","DE","semiconductors","European GaAs substrate specialist"
"Freshworks Inc.","Private Company","IN","enterprise_software","Chennai SaaS in customer support (Freshdesk) and ITSM (Freshservice). NASDAQ:FRSH from 22 Sep 2021."
"Fujifilm","Foreign Supplier","JP","semiconductors","Photoresists and electronic materials. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Fujifilm Corporation — Electronic Materials","Foreign Supplier","JP","semiconductors","Fourth leg of Japan photoresist chokepoint"
"Fujifilm Electronic Materials","Foreign Supplier","JP","semiconductors","Japanese supplier in photoresist and semiconductor-process materials."
"Fujimi Corporation","Foreign Supplier","JP","semiconductors","CMP abrasives and polishing materials"
"Fujimi Incorporated","Foreign Supplier","JP","semiconductors","Japanese CMP-slurry and precision-abrasive supplier."
"GACL — Gujarat Alkalies and Chemicals Limited","PSU / CPSE","IN","semiconductors","Indian bulk chemicals; potential feedstock supply for fabs"
"GAIL India Limited","PSU / CPSE","IN","semiconductors","Major Indian gas pipeline; natural gas + helium extraction"
"Gallium","Mineral / Material","CN","defence","Critical input for GaN/compound-semi and RF/power devices; China controls ~98-99% with export controls."
"GaN-on-SiC RF MMIC","Technology","US","defence","GaN-on-SiC monolithic microwave ICs; backbone of modern AESA radar, EW, seekers; ~90% import dependent."
"Garden Reach Shipbuilders & Engineers","PSU / CPSE","IN","defence","GRSE; Kolkata; P17A frigates (share), ASW corvettes (Kamorta-class), LCU Mk-IV, fuel tankers."
"Garden Reach Shipbuilders & Engineers Limited","PSU / CPSE","IN","defence","Frigate/corvette yard; L1 for 5 of 8 Next-Generation Corvettes; surface-combatant pipeline node."
"Garuda Aerospace","Private Company","IN","defence","Agriculture / multi-use drones. Based in Chennai, Tamil Nadu; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Gas Turbine Research Establishment","Research Institution","IN","defence","GTRE; Bengaluru; Kaveri engine (unfulfilled thrust target); aero-engine co-development lead."
"GE Aerospace","Foreign Supplier","US","defence","THE jet-engine chokepoint — sole supplier of F404/F414 engines for Tejas; delays have throttled deliveries."
"GE Healthcare India","Private Company","US","ai_medtech","GE Healthcare India official site describes Edison AI platform and Indian manufacturing."
"General Aeronautics","Private Company","IN","defence","Agriculture drones (Reliance-backed). Based in Bengaluru, Karnataka; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Geological Survey of India","Govt Body / Regulator","IN","critical_minerals","National exploration agency; 1,200 NCMM exploration projects; the upstream resource-definition chokepoint."
"Geological Survey of India (GSI)","Govt Body / Regulator","IN","","Attached office of the Ministry of Mines; premier earth-science organisation."
"Germanium","Mineral / Material","IN","critical_minerals","Infrared optics, fibre optics, space photovoltaics. China is the leading global producer (~60% of mine/refinery output; 68% per USGS-cited ~2021 data)"
"Germanium IR optics","Product / Component","IN","defence","Germanium lenses for thermal imaging; import-dependent chokepoint (DSI rank 6). EON Space Labs develops germanium-free alternatives. Catalogued in Who Builds India's Drones? (Techadyant Labs, 2026)."
"GitHub, Inc.","Private Company","US","enterprise_software","Referenced in Atlas relationships."
"Gnani.ai","Private Company","IN","ai_infrastructure","IndiaAI-funded voice-AI company (Vachana model family)."
"GNFC — Gujarat Narmada Valley Fertilizers & Chemicals","Private Company","IN","semiconductors","Indian bulk chemicals (toluene, aniline, DMF)"
"GNSS navigation modules","Product / Component","IN","defence","Satellite-navigation receivers (GPS/NavIC) for UAV positioning; import-dependent. Catalogued in Who Builds India's Drones? (Techadyant Labs, 2026)."
"Goods and Services Tax Network (GSTN)","Joint Venture","IN","enterprise_software","Public-private JV operating the GST return-filing system."
"Google Cloud","Private Company","US","","Google Cloud operates Indian cloud regions beginning with Mumbai and later Delhi, giving enterprises in-country cloud options for AI and data workload"
"Google Cloud (Alphabet)","Private Company","US","","Third hyperscaler in India. Mumbai region launched 2017; second region in Delhi NCR announced 2020 and live subsequently. MeitY-empanelled."
"Google Cloud Delhi NCR region","Facility / Plant","IN","enterprise_software","Referenced in Atlas relationships."
"Google Cloud India","Private Company","US","ai_infrastructure; enterprise_software","$15bn AP project; Jamnagar region for Reliance + Visakhapatnam campus with Adani; equity in Jio."
"Google Cloud Mumbai region","Facility / Plant","IN","enterprise_software","Referenced in Atlas relationships."
"Google Health India (DeepMind/Google Research)","Private Company","US","ai_medtech","Google Health site describes DR screening research; published in Nature Biomedical Engineering with Aravind."
"Google TPU","Foreign Supplier","US","ai_infrastructure","Google TPU is a custom AI accelerator available through cloud platforms."
"Graphite (battery-anode grade)","Mineral / Material","CN","ai_infrastructure; critical_minerals","Largest anode material by weight in Li-ion cells; China ~90% battery-grade refining with export curbs."
"Graphite India — Semiconductor Division","Private Company","IN","semiconductors","Graphite India exploring semiconductor-grade parts"
"Graphite India Limited","Private Company","IN","semiconductors","Indian graphite electrodes and parts; exploring semiconductor-grade"
"Grene Robotics","Private Company","IN","defence","Counter-UAS (Indrajaal). Based in Hyderabad, Telangana; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Grepow","Foreign Supplier","CN","defence","Drone-specific Li-Po batteries (Tattu / Gens Ace brands). Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Grid power connection","Port / Airport / Infrastructure Node","IN","ai_infrastructure","Grid power connection is a gating infrastructure node for AI data centres."
"Gujarat State Electronics Mission","Govt Body / Regulator","IN","semiconductors","Gujarat's state electronics mission under the Department of Science & Technology; driving the state's move up the semiconductor value chain, incl. the ChipIN Extension Centre & VLSI Design CoE (Aug 2026)."
"Haesung DS","Foreign Supplier","KR","semiconductors","Korean leadframe and substrate maker"
"Haier Appliances India","Private Company","CN","","Consumer electronics / white goods. Corridor-node tenant/investor documented in Techadyant corridor dossiers (DPIIT/NICDC-sourced)."
"Hamamatsu Photonics","Foreign Supplier","JP","ai_medtech","Photodetectors, scintillators and optical sensors."
"HCL Electronics (HCL Group — medical electronics R&D)","Private Company","IN","ai_medtech","HCL provides medical device R&D and AI services to global MedTech firms."
"HCL Tech — Chip Design Practice","Private Company","IN","semiconductors","HCL Tech chip design practice"
"HealthPlix","Private Company","IN","ai_medtech","HealthPlix official site describes AI EMR; ET reported USD 22M Series B in 2022. Note: Practice management software, not strictly regulated SaMD — included because of material AI CDSS function but flagged accordingly."
"Heavyweight torpedoes & UW weapons","Technology","IN","defence","Varunastra indigenous; some homing and propulsion subsystems imported."
"HEG Limited","Private Company","IN","semiconductors","Indian graphite electrodes; large-capacity domestic"
"HEMC (Hindustan Electro-Medical Components)","Private Company","IN","ai_medtech","HEMC is referenced as a medical electronics components supplier but limited verifiable evidence — moved to Research Leads."
"Henkel — Loctite Electronic Materials","Foreign Supplier","DE","semiconductors","Dominant die-attach and underfill supplier"
"Heraeus Precious Metals — Bonding Wire","Foreign Supplier","DE","semiconductors","Major bonding wire supplier"
"High-bandwidth memory (HBM)","Technology","","ai_infrastructure","HBM is the memory chokepoint for AI accelerators. TrendForce and Counterpoint identify SK hynix, Samsung and Micron as the three principal suppliers,"
"High-energy Li-ion cells","Technology","IN","critical_minerals","Packs assembled domestically; cells imported. Rides ACC-PLI, not defence-specific."
"Hindustan Aeronautics Limited","PSU / CPSE","IN","defence","Sole indigenous fighter/helicopter integrator; Tejas prime; the chokepoint linking airpower to foreign engines."
"Hindustan Copper Limited (HCL)","PSU / CPSE","IN","critical_minerals","PSU under Ministry of Mines; India's only vertically integrated copper producer. Holds 30% stake in KABIL."
"Hindustan Zinc Limited (HZL)","PSU / CPSE","IN","critical_minerals","Vedanta Group subsidiary; world's second-largest integrated zinc-lead-silver producer."
"HLL Lifecare (HLL Biochemistry)","PSU / CPSE","IN","ai_medtech","HLL Lifecare is a government PSU manufacturing healthcare products including IVDs."
"Hobbywing","Foreign Supplier","CN","defence","Electronic speed controllers; global ESC leader. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Holybro","Foreign Supplier","CN","defence","Flight controllers / autopilot hardware (Pixhawk ecosystem). Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Hon Hai Technology Group","Foreign Supplier","TW","semiconductors","World's largest contract manufacturer; JV partner in India Chip OSAT and broad India electronics build-out."
"Honeywell Electronic Materials","Foreign Supplier","US","semiconductors","Sputtering targets and precursor materials"
"Hypersonics & scramjet propulsion","Technology","IN","defence","HSTDV flight-tested; a frontier where India is a credible early mover."
"IBIDEN","Foreign Supplier","JP","semiconductors","Japanese IC-substrate and graphite-susceptor maker; a top-three global package-substrate supplier and a leading supplier of graphite susceptors for SiC epitaxy."
"IBIDEN Co., Ltd","Foreign Supplier","JP","semiconductors","Graphite susceptors for SiC epi; IC substrates for packaging"
"IC substrate","Product / Component","","semiconductors","Engineered package substrate carrying the die and connecting it to the board. India has no domestic producer at scale; Shinko, IBIDEN and Unimicron hold roughly 70% of the world market. Glass-core substrates are the emerging frontier variant."
"ICMEMSA (Indian Council of Medical Equipment Manufacturers)","Industry Body","IN","ai_medtech","ICMEMSA is an industry association representing Indian medical device manufacturers."
"ICMR — Indian Council of Medical Research","Govt Body / Regulator","IN","ai_medtech","ICMR has issued AI ethics guidelines; major funder of MedTech research."
"ideaForge Technology Limited","Private Company","IN","defence","Tactical / surveillance UAVs. Based in Navi Mumbai, Maharashtra; stage: Listed. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"II-VI Inc. (now Coherent Corp.)","Foreign Supplier","US","semiconductors","SiC substrate leader; key for SiCSem Odisha"
"IISc — Centre for Nano Science and Engineering (CeNSE)","Research Institution","IN","semiconductors","IISc CeNSE: India's premier academic nanofab; 4-inch pilot line"
"IIT Hyderabad","University","IN","semiconductors","IIT Hyderabad: VLSI and device fab"
"IIT Hyderabad — HealthTech research groups","University","IN","ai_medtech","IIT Hyderabad academic institution with active AI-MedTech research groups — included as ecosystem capability."
"IIT Kharagpur — AI School of Medical Science & Engineering","University","IN","ai_medtech","IIT Kharagpur hosts AI-MedTech research programmes."
"IIT Madras — Center for Integrative Health Research","University","IN","ai_medtech","IIT Madras hosts active MedTech research centres; included as ecosystem capability."
"Imaging IR seeker","Technology","IL","defence","Imaging IR seekers for missiles; DRDO RCI developing; Rafael/IAI primary sources for QRSAM/ATGM classes."
"InCore Semiconductors","Private Company","IN","semiconductors","RISC-V processor IP and SoC company (SHAKTI lineage, IIT Madras ecosystem), Chennai. India challenger in the one open IP layer. Named in The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"India","Country","IN","critical_minerals","Referenced in Atlas relationships."
"India Cellular and Electronics Association (ICEA)","Industry Body","IN","semiconductors","Indian industry body for mobile and electronics manufacturing; Lava, Dixon, Foxconn India members."
"India Chip (HCL-Foxconn JV)","Joint Venture","IN","semiconductors","HCL-Foxconn display-driver OSAT at Jewar/YEIDA (UP), ~Rs 3,706 cr; extends OSAT beyond Gujarat."
"India Chip Pvt Ltd (HCL + Foxconn JV)","Joint Venture","IN","semiconductors","India Chip Pvt Ltd: 60:40 JV between HCL Group and Foxconn (Hon Hai); ISM-approved May 2025"
"India Electronics and Semiconductor Association","Industry Body","IN","semiconductors","Apex ESDM industry body; convenes industry-government policy and SEMICON India inputs."
"India Electronics and Semiconductor Association (IESA)","Industry Body","IN","semiconductors","Premier Indian industry body for semiconductors and electronics; policy advocacy and ecosystem development."
"India Semiconductor Mission","Govt Body / Regulator","IN","semiconductors","Independent business division under MeitY; single approval/disbursement gate for every fab and OSAT."
"India Semiconductor Mission (ISM) / Modified Scheme","Scheme / Programme","IN","semiconductors","MeitY scheme for semiconductor and display manufacturing; outlay INR 76,000 crore under Modified ISM, expanded under Semicon 2.0."
"India Stack","Ecosystem","IN","enterprise_software","Public digital infrastructure layers (Aadhaar, UPI, DigiLocker, e-KYC, e-Sign, Account Aggregator)."
"India-Asia-Xpress / India-Europe-Xpress cable systems","Facility / Plant","IN","ai_infrastructure","Reliance/Jio-led subsea systems landing at Mumbai/Chennai; the international-bandwidth chokepoint for Indian inferencing."
"IndiaAI Compute Portal","Technology","IN","ai_infrastructure","The IndiaAI Compute Portal is the public marketplace for subsidised AI compute access."
"IndiaAI Independent Business Division","Govt Body / Regulator","IN","ai_infrastructure","IndiaAI IBD under Digital India Corporation implements the IndiaAI Mission, including common compute, model support and datasets."
"IndiaAI Mission","Scheme / Programme","IN","ai_infrastructure; ai_medtech; enterprise_software","Rs 10,372 cr scheme; Compute pillar subsidises a pooled GPU cluster (>38,000 GPUs) — the compute demand-aggregation chokepoint."
"Indian Air Force","Govt Body / Regulator","IN","defence","Referenced in Defence Atlas relationships."
"Indian Army","Govt Body / Regulator","IN","defence","Referenced in Defence Atlas relationships."
"Indian Navy","Govt Body / Regulator","IN","defence","Referenced in Defence Atlas relationships."
"Indian Oil Corporation (IOCL)","PSU / CPSE","IN","enterprise_software","Largest Indian commercial enterprise. SAP via Project Manthan (R/3, 500+ sites); S/4HANA in IOC-Adani JV."
"Indraprastha Gas Limited","Private Company","IN","semiconductors","Indian PNG and CNG supplier"
"Infineon Technologies","Foreign Supplier","DE","semiconductors","SiC power-device leader. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Infosys","Private Company","IN","enterprise_software","IT-services major; builder of Finacle core-banking product — proof that where India built the product, sovereignty followed."
"InnAccel Technologies","Private Company","IN","ai_medtech","InnAccel official site describes neonatal products; BIRAC support documented."
"Innovations for Defence Excellence","Scheme / Programme","IN","defence","DDP startup/MSME procurement on-ramp; ADITI funds deep-tech incl. defence semiconductors and autonomy."
"INOX Air Products Ltd","Joint Venture","IN","semiconductors","JV between INOX and Air Products; major Indian industrial gas supplier"
"Instruments Research and Development Establishment","Research Institution","IN","defence","IRDE; Dehradun; EO-IR systems, night-vision, holographic sights, missile optical seekers."
"Intel","Foreign Supplier","US","semiconductors","Intel is present in IndiaAI compute through Gaudi 2 and Gaudi 3 accelerator options cited by PIB."
"Intel-3DGS Substrate Plant, Bhubaneswar-Khurda","Facility / Plant","IN","semiconductors","US$3.3bn glass-core and HDI substrate plant announced May 2026 for the Bhubaneswar-Khurda region of Odisha; five-to-six-year buildout, ground broken April 2026. Planned output ~70,000 glass substrates a year plus ~50m assembled units and ~13,000 3D heterogeneous-integration modul"
"Intertek India","Private Company","IN","semiconductors","Intertek India: safety and EMC testing"
"Inverted Energy","Private Company","IN","defence","Battery packs / BMS. Based in Delhi, Delhi; stage: Startup. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"IOCL Paradip Refinery","Facility / Plant","IN","","Petroleum refining (15 MMTPA). Corridor-node tenant/investor documented in Techadyant corridor dossiers (DPIIT/NICDC-sourced)."
"Ion Exchange India Ltd","Private Company","IN","semiconductors","Indian UPW and water treatment supplier"
"IoTechWorld Avigation","Private Company","IN","defence","Agriculture drones (Agribot). Based in Gurugram, Haryana; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"IQE plc","Foreign Supplier","GB","semiconductors","Outsourced epiwafer leader"
"IREL (India) Limited","PSU / CPSE","IN","critical_minerals; defence","Sole domestic rare-earth miner/processor; monazite-to-NdPr and sole REE-magnet producer; single REE feedstock point."
"IREL Odisha Sand Complex (OSCOM), Chhatrapur","Facility / Plant","IN","critical_minerals","IREL's largest mineral-sands division at Chhatrapur, Odisha."
"IREL Rare Earth Permanent Magnet Plant (REPM), Visakhapatnam","Facility / Plant","IN","critical_minerals","Samarium-cobalt (SmCo) permanent magnet plant commissioned in 2023 at Visakhapatnam, Andhra Pradesh."
"Isola Group India","Private Company","IN","semiconductors","Indian CCL manufacturing; potential substrate uplift"
"Israel Aerospace Industries","Foreign Supplier","IL","defence","IAI; Heron TP / MK-II, Searcher II, Harop loitering munition, Barak-8/MRSAM, Green Pine radar (BMD)."
"Jagiroad semiconductor cluster","District Cluster","IN","semiconductors","Jagiroad/Morigaon, Assam hosts Tata Semiconductor Assembly and Test."
"JCET Group","Foreign Supplier","CN","semiconductors","Top-3 OSAT (China). Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Jio Jamnagar data centre","Facility / Plant","IN","ai_infrastructure","Jio Jamnagar data centre hosts JioAICloud according to JioAICloud's FAQ."
"Jio Platforms","Private Company","IN","","Jio Platforms is a bidder in the IndiaAI compute procurement list and operates JioAICloud hosted at Jio's Jamnagar data centre."
"Jio Platforms Limited","Private Company","IN","ai_infrastructure","Reliance digital/telecom arm and IndiaAI-empanelled GPU provider; Google and Meta hold equity."
"JL MAG Rare-Earth","Foreign Supplier","CN","critical_minerals","Sintered NdFeB magnets; leading global producer. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"JSR Corporation","Foreign Supplier","JP","semiconductors","Photoresists — Japanese oligopoly member. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Kalyani Group (Bharat Forge Defence)","Private Company","IN","defence","Kalyani; ATAGS, Bharat 52, Bharat 45 howitzers, armoured vehicles (Garuda), ULH; artillery anchor."
"Kamadhenu Stika","Private Company","IN","","Textiles. Corridor-node tenant/investor documented in Techadyant corridor dossiers (DPIIT/NICDC-sourced)."
"Katghora Lithium & PGE Block","Mine","IN","critical_minerals","Critical-mineral block in Karnataka awarded to Vedanta Limited. Contains lithium and platinum-group-elements mineralisation."
"Kawalapur Rare Earth Elements Block","Mine","IN","critical_minerals","REE block (~400 hectares) in Maharashtra awarded to Coal India Limited under Composite Licence in April 2025. First REE block won by CIL."
"Kaynes Semicon Private Limited","Private Company","IN","semiconductors","Operates India's second operational OSAT (Sanand, Mar 2026); shipped first commercial multi-chip module."
"Kaynes Semicon Pvt Ltd","Private Company","IN","semiconductors","Kaynes Technology Sanand OSAT; ISM-approved"
"Kaynes Semicon Sanand backend platform","Facility / Plant","IN","semiconductors","Kaynes Semicon's Sanand backend platform (OSAT, reliability, testing, packaging)."
"Kaynes Technology India Limited","Private Company","IN","ai_medtech; semiconductors","EMS / semiconductors / defence (parent of Kaynes Semicon). Based in Mysuru, Karnataka; stage: Listed. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Khanij Bidesh India Limited (KABIL)","PSU / CPSE","IN","critical_minerals","Joint venture of NALCO (40%), HCL (30%) and MECL (30%) under the Ministry of Mines, incorporated 8 Aug 2019."
"Kingboard Holdings India","Private Company","IN","semiconductors","Indian CCL capacity via Kingboard global"
"Kinsus Interconnect Technology","Foreign Supplier","TW","semiconductors","Taiwan IC substrate specialist"
"KLA Corporation","Foreign Supplier","US","semiconductors","Process control / metrology leader; ~62% gross margin. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Krutrim","Private Company","IN","enterprise_software","Ola-backed Indian AI/cloud platform building indigenous models and AI cloud infrastructure."
"Krutrim SI Designs","Private Company","IN","","Krutrim is an Indian AI-cloud and sovereign compute challenger with GPU VMs, GPU bare metal and AI Pods documented in its cloud platform materials."
"Krutrim SI Designs Private Limited","Private Company","IN","ai_infrastructure","Ola-backed indigenous-model/cloud player; the non-state sovereign-model alternative to Sarvam."
"L&T Semiconductor Technologies","Private Company","IN","semiconductors","Fabless semiconductor design arm of Larsen & Toubro; designs chips at 12-95nm nodes (USD 100m invested to date). In Aug 2026 announced shift of its OSAT (assembly & testing) operations from overseas to India, partnering domestic providers including Tata Electronics."
"Lam Research Corporation","Foreign Supplier","US","semiconductors","Dominant etch/deposition equipment supplier; India ~100% import-dependent for etch tooling."
"Larsen & Toubro (L&T Medical Equipment)","Private Company","IN","ai_medtech","L&T provides precision engineering capability with potential for medical device manufacturing."
"Larsen & Toubro Construction (L&T)","Private Company","IN","semiconductors","L&T Construction: India's largest EPC; heavy civil and cleanroom capability"
"Larsen & Toubro Defence","Private Company","IN","defence","L&T Defence; K9 Vajra SPH (Hanwha ToT), Pinaka MBRL, submarine hull sections (P-75/P-75I), BrahMos launchers, naval systems."
"Larsen & Toubro Limited (Precision Engineering & Systems)","Private Company","IN","defence","Largest private defence-engineering prime; K9 Vajra producer, AMCA consortium lead with BEL."
"Linde","Foreign Supplier","IE","semiconductors","Specialty gases and wet chemicals for fabs. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Linde India Limited","Private Company","IN","semiconductors","Major Indian industrial gas supplier; expanding for semiconductor"
"Liquid cooling","Technology","","ai_infrastructure","Liquid cooling is a physical-infrastructure constraint and opportunity for AI workloads because rack densities are rising sharply."
"Liquid cooling and high-density thermal systems (opportunity surface)","Opportunity surface","IN","ai_infrastructure","Liquid cooling and high-density thermal systems is an AI Infrastructure opportunity surface in corridor 3."
"Lithium","Mineral / Material","CN","critical_minerals","Core battery metal; India ~100% import-dependent, refining China-routed; the defining import-dependency mineral."
"Lithography systems","Product / Component","NL","semiconductors","Photolithography scanners/steppers; the deepest equipment chokepoint. India imports an estimated ~99% [estimated]; advanced EUV dominated by ASML."
"Lockheed Martin","Foreign Supplier","US","defence","Lockheed Martin; C-130J-30, MH-60R Seahawk, F-21 (MRFA candidate); ~$5 bn India book."
"Log9 Materials","Private Company","IN","critical_minerals","Batteries / cells. Based in Bengaluru, Karnataka; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Lohum Cleantech Private Limited","Private Company","IN","critical_minerals","India's largest integrated Li-ion recycler; announced India's first battery-grade lithium refinery."
"Loitering munitions","Technology","IN","defence","Domestic integration strong; seekers and some subsystems imported."
"Lumisens","Private Company","IN","ai_medtech","Lumisens website exists; minimal verifiable clinical evidence — moved to Research Leads."
"Magnet-free EV traction motor","Technology","","critical_minerals","EV traction-motor architectures — externally-excited (wound-rotor) synchronous, switched-reluctance and advanced induction — that deliver competitive torque density without NdFeB rare-earth permanent magnets, removing the single largest rare-earth dependency in the EV bill of mat"
"Mahanagar Gas Limited","Private Company","IN","semiconductors","Indian PNG and CNG supplier"
"MALE / HALE UAV platforms","Technology","IN","defence","TAPAS-BH delays; high-end ISR met by imported MQ-9B. Integration ahead of payload."
"ManageEngine (Zoho Corp)","Private Company","IN","enterprise_software","Referenced in Atlas relationships."
"Mas India","Private Company","IN","semiconductors","Mas India: VLSI training institute"
"Matheson Gas (Taiyo Nippon Sanso)","Foreign Supplier","US","semiconductors","Major specialty gas supplier; rare gases"
"Maven Silicon","Private Company","IN","semiconductors","Maven Silicon: VLSI training institute"
"Mazagon Dock Shipbuilders Limited","PSU / CPSE","IN","defence","Premier submarine/destroyer yard; lead yard for the ~Rs 70,000 cr Project-75I submarine programme with TKMS."
"MediaTek","Foreign Supplier","TW","ai_medtech","Connectivity and application SoCs."
"MeghRaj (GI Cloud)","Scheme / Programme","IN","enterprise_software","National Government Cloud initiative launched 2014 by MeitY."
"Merck India R&D — Electronic Materials","Foreign Supplier","DE","semiconductors","Merck India R&D: electronic materials R&D; hydrazine plant"
"Merck KGaA","Foreign Supplier","DE","semiconductors","Specialty chemicals and materials for semiconductors. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Merck KGaA — Electronics","Foreign Supplier","DE","semiconductors","EUV materials, CMP slurry; India Bengaluru R&D and hydrazine plant investment announced"
"Merck Life Sciences India","Private Company","IN","semiconductors","Merck India electronic materials; announced hydrazine and ATMP material investment"
"Metrology and inspection tools","Product / Component","US","semiconductors","Measurement and defect-inspection equipment. India imports an estimated ~88% [estimated]; concentrated in KLA, Applied Materials."
"Micro Labs Medical Devices","Private Company","IN","ai_medtech","Micro Labs operates a medical devices division in Bengaluru."
"Micron ATMP Sanand","Facility / Plant","IN","semiconductors","First facility operational under ISM (Feb 2026); ~Rs 22,500 cr; first Made-in-India memory modules."
"Micron Semiconductor Technology India Private Limited","Private Company","US","semiconductors","Operates India's first operational chip unit (Sanand ATMP); DRAM/NAND assembly-test."
